file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,110,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,111,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,112,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,13
style.css,113,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,15
style.css,114,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,115,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,116,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,8
style.css,117,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,18
style.css,118,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,12
style.css,119,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,19
style.css,120,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,18
style.css,121,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,40
style.css,122,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,123,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,124,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,125,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,18
style.css,126,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,17
style.css,127,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,26
style.css,128,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,20
style.css,129,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,42
style.css,130,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,21
style.css,131,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,132,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,133,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,134,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,11
style.css,135,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,17
style.css,136,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,11
style.css,137,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,20
style.css,138,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,139,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,140,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,141,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,10
style.css,142,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,15
style.css,143,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,15
style.css,144,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,11
style.css,145,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,146,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
